hotel_name,hotel_url,hotel_price,hotel_rating,hotel_review,LAT,LNG,z_hotel_review,rec_hotels
Volcano Village Lodge,https://www.tripadvisor.com/Hotel_Review-g60607-d611299-Reviews-Volcano_Village_Lodge-Volcano_Island_of_Hawaii_Hawaii.html,380,5.0,754,19.445906100000002,-155.23140149999998,-0.5920091765838366,-2.9600458829191827
Kona Seaside Hotel,https://www.tripadvisor.com/Hotel_Review-g60872-d111594-Reviews-Kona_Seaside_Hotel-Kailua_Kona_Island_of_Hawaii_Hawaii.html,205,4.0,1487,19.6411089,-155.99627949999999,-0.24796263849120792,-0.9918505539648317
Hilo Seaside Hotel,https://www.tripadvisor.com/Hotel_Review-g60583-d113098-Reviews-Hilo_Seaside_Hotel-Hilo_Island_of_Hawaii_Hawaii.html,151,4.0,1280,19.723507,-155.062949,-0.3451217563427415,-1.380487025370966
Kings' Land by Hilton Grand Vacations,https://www.tripadvisor.com/Hotel_Review-g60608-d1404166-Reviews-Kings_Land_by_Hilton_Grand_Vacations-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html,219,4.5,2814,19.9257289,-155.8660939,0.3748883247406041,1.6869974613327183
Volcano House,https://www.tripadvisor.com/Hotel_Review-g143034-d282791-Reviews-Volcano_House-Hawaii_Volcanoes_National_Park_Island_of_Hawaii_Hawaii.html,285,4.0,1231,19.428741600000002,-155.25836,-0.3681207745781287,-1.4724830983125148
Holiday Inn Express Hotel & Suites Kailua-Kona,https://www.tripadvisor.com/Hotel_Review-g60872-d6419881-Reviews-Holiday_Inn_Express_Hotel_Suites_Kailua_Kona-Kailua_Kona_Island_of_Hawaii_Hawaii.html,239,4.5,631,19.6388187,-155.9916719,-0.6497414060318493,-2.923836327143322
Dolphin Bay,https://www.tripadvisor.com/Hotel_Review-g60583-d86944-Reviews-Dolphin_Bay-Hilo_Island_of_Hawaii_Hawaii.html,139,4.5,732,35.16442260000001,-120.6897295,-0.6023352664038063,-2.7105086988171285
Waikoloa Beach Marriott Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g60608-d209314-Reviews-Waikoloa_Beach_Marriott_Resort_Spa-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html,399,4.0,3358,19.916263,-155.88468600000002,0.6302243639253108,2.520897455701243
Kilauea Hospitality Group,https://www.tripadvisor.com/Hotel_Review-g60607-d87390-Reviews-Kilauea_Hospitality_Group-Volcano_Island_of_Hawaii_Hawaii.html,173,4.0,487,19.4418557,-155.2349914,-0.7173303575807423,-2.869321430322969
Arnott's Lodge,https://www.tripadvisor.com/Hotel_Review-g60583-d113099-Reviews-Arnott_s_Lodge-Hilo_Island_of_Hawaii_Hawaii.html,120,4.0,688,19.734458,-155.04130800000001,-0.6229874460437458,-2.491949784174983
The Inn at Kulaniapia Falls,https://www.tripadvisor.com/Hotel_Review-g60583-d146823-Reviews-The_Inn_at_Kulaniapia_Falls-Hilo_Island_of_Hawaii_Hawaii.html,199,4.5,952,19.723564,-155.134924,-0.4990743682041088,-2.2458346569184897
The Old Hawaiian B&B,https://www.tripadvisor.com/Hotel_Review-g60583-d292200-Reviews-The_Old_Hawaiian_B_B-Hilo_Island_of_Hawaii_Hawaii.html,130,4.5,173,19.716838,-155.123277,-0.864711821374856,-3.891203196186852
Hilo Bay Hale Bed & Breakfast,https://www.tripadvisor.com/Hotel_Review-g60583-d1166483-Reviews-Hilo_Bay_Hale_Bed_Breakfast-Hilo_Island_of_Hawaii_Hawaii.html,159,5.0,209,19.719542399999998,-155.0873389,-0.8478145834876327,-4.239072917438164
The Palms Cliff House Inn,https://www.tripadvisor.com/Hotel_Review-g60586-d254753-Reviews-The_Palms_Cliff_House_Inn-Honomu_Island_of_Hawaii_Hawaii.html,274,4.5,272,19.872756,-155.1074721,-0.8182444171849921,-3.6820998773324645
Hale Kai Hawaii Bed & Breakfast,https://www.tripadvisor.com/Hotel_Review-g60583-d248226-Reviews-Hale_Kai_Hawaii_Bed_Breakfast-Hilo_Island_of_Hawaii_Hawaii.html,175,4.5,325,19.7576381,-155.0906965,-0.7933679280732467,-3.5701556763296103
Lotus Garden Cottages,https://www.tripadvisor.com/Hotel_Review-g60607-d567478-Reviews-Lotus_Garden_Cottages-Volcano_Island_of_Hawaii_Hawaii.html,305,5.0,586,19.4465076,-155.2372381,-0.6708629533908783,-3.3543147669543916
Mauna Lani Point,https://www.tripadvisor.com/Hotel_Review-g2312116-d242432-Reviews-Mauna_Lani_Point-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html,392,4.5,247,19.936218,-155.8746905,-0.8299786101622305,-3.7349037457300374
Country Goose Bed & Breakfast,https://www.tripadvisor.com/Hotel_Review-g60607-d248316-Reviews-Country_Goose_Bed_Breakfast-Volcano_Island_of_Hawaii_Hawaii.html,115,4.5,202,19.427606,-155.2185416,-0.8511001575212594,-3.8299507088456677
Ka'awa Loa Plantation,https://www.tripadvisor.com/Hotel_Review-g60580-d644908-Reviews-Ka_awa_Loa_Plantation-Captain_Cook_Island_of_Hawaii_Hawaii.html,149,5.0,464,19.481627,-155.90728000000001,-0.7281258151198016,-3.6406290755990076
Royal Kona Resort,https://www.tripadvisor.com/Hotel_Review-g60872-d111604-Reviews-Royal_Kona_Resort-Kailua_Kona_Island_of_Hawaii_Hawaii.html,285,3.5,3720,19.632105300000003,-155.9903179,0.8001354782357222,2.8004741738250276
Courtyard by Marriott King Kamehameha's Kona Beach Hotel,https://www.tripadvisor.com/Hotel_Review-g60872-d87181-Reviews-Courtyard_by_Marriott_King_Kamehameha_s_Kona_Beach_Hotel-Kailua_Kona_Island_of_Hawaii_Haw.html,359,4.0,3583,19.6409558,-155.99751609999998,0.735832100720456,2.943328402881824
Castle Hilo Hawaiian Hotel,https://www.tripadvisor.com/Hotel_Review-g60583-d209311-Reviews-Castle_Hilo_Hawaiian_Hotel-Hilo_Island_of_Hawaii_Hawaii.html,172,3.5,2228,19.7284039,-155.066467,0.099838841354137,0.3494359447394795
"Fairmont Orchid, Hawaii",https://www.tripadvisor.com/Hotel_Review-g2312116-d113123-Reviews-Fairmont_Orchid_Hawaii-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html,899,4.5,5119,19.950885,-155.859754,1.4567809172419806,6.555514127588912
The Westin Hapuna Beach Resort,https://www.tripadvisor.com/Hotel_Review-g2312116-d169643-Reviews-The_Westin_Hapuna_Beach_Resort-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html,729,4.5,4194,19.995001600000002,-155.8239569,1.0226157770841613,4.6017709968787255
Kohala Suites by Hilton Grand Vacations,https://www.tripadvisor.com/Hotel_Review-g60608-d967966-Reviews-Kohala_Suites_by_Hilton_Grand_Vacations-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html,509,4.5,1463,19.9223533,-155.87778930000002,-0.25922746374935673,-1.1665235868721053
Marriott’s Waikoloa Ocean Club,https://www.tripadvisor.com/Hotel_Review-g60608-d12646099-Reviews-Marriott_s_Waikoloa_Ocean_Club-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html,638,4.5,111,19.916405800000003,-155.88450519999998,-0.8938126199584071,-4.022156789812832
Aston Kaanapali Shores,https://www.tripadvisor.com/Hotel_Review-g60634-d87290-Reviews-Aston_Kaanapali_Shores-Lahaina_Maui_Hawaii.html,257,4.0,2932,20.949283800000003,-156.68919499999998,0.4302737155931691,1.7210948623726765
Grand Wailea,https://www.tripadvisor.com/Hotel_Review-g609129-d111788-Reviews-Grand_Wailea-Wailea_Maui_Hawaii.html,764,4.0,8012,20.684082999999998,-156.440916,2.8146617285680033,11.258646914272013
Napili Sunset Beachfront Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d111830-Reviews-Napili_Sunset_Beachfront_Resort-Lahaina_Maui_Hawaii.html,249,4.5,195,20.994909200000002,-156.666382,-0.8543857315548863,-3.8447357919969884
Hyatt Regency Maui Resort and Spa,https://www.tripadvisor.com/Hotel_Review-g60634-d101352-Reviews-Hyatt_Regency_Maui_Resort_and_Spa-Lahaina_Maui_Hawaii.html,579,4.0,8364,20.912971,-156.6921667,2.979879165687519,11.919516662750077
Aston Maui Kaanapali Villas,https://www.tripadvisor.com/Hotel_Review-g60634-d87292-Reviews-Aston_Maui_Kaanapali_Villas-Lahaina_Maui_Hawaii.html,359,4.0,1394,20.9340345,-156.6913483,-0.2916138363665346,-1.1664553454661384
Royal Lahaina Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d90119-Reviews-Royal_Lahaina_Resort-Lahaina_Maui_Hawaii.html,365,4.0,5276,20.931824399999996,-156.69226650000002,1.5304716491390373,6.121886596556149
"Fairmont Kea Lani, Maui",https://www.tripadvisor.com/Hotel_Review-g609129-d87399-Reviews-Fairmont_Kea_Lani_Maui-Wailea_Maui_Hawaii.html,819,4.5,5637,20.6755814,-156.4414243,1.6999133957303594,7.649610280786617
Residence Inn by Marriott Maui Wailea,https://www.tripadvisor.com/Hotel_Review-g609129-d8776921-Reviews-Residence_Inn_by_Marriott_Maui_Wailea-Wailea_Maui_Hawaii.html,399,4.5,462,20.6877312,-156.43429369999998,-0.7290645505579806,-3.2807904775109127
Four Seasons Resort Maui at Wailea,https://www.tripadvisor.com/Hotel_Review-g609129-d87397-Reviews-Four_Seasons_Resort_Maui_at_Wailea-Wailea_Maui_Hawaii.html,1500,4.5,6364,20.680231600000003,-156.4421574,2.0411437275084507,9.185146773788029
The Mauian Hotel on Napili Beach,https://www.tripadvisor.com/Hotel_Review-g60634-d111826-Reviews-The_Mauian_Hotel_on_Napili_Beach-Lahaina_Maui_Hawaii.html,309,4.5,418,20.995457000000002,-156.66520480000003,-0.7497167301979201,-3.3737252858906404
Mana Kai Maui,https://www.tripadvisor.com/Hotel_Review-g60632-d111817-Reviews-Mana_Kai_Maui-Kihei_Maui_Hawaii.html,811,4.5,693,20.704921300000002,-156.44663390000002,-0.6206406074482982,-2.7928827335173416
Napili Kai Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d111829-Reviews-Napili_Kai_Beach_Resort-Lahaina_Maui_Hawaii.html,555,4.5,1009,20.997173699999998,-156.6655587,-0.4723204082160053,-2.1254418369720236
Paia Inn,https://www.tripadvisor.com/Hotel_Review-g60636-d1102016-Reviews-Paia_Inn-Paia_Maui_Hawaii.html,499,5.0,839,20.915909,-156.382039,-0.5521129204612262,-2.7605646023061308
Maui Coast Hotel,https://www.tripadvisor.com/Hotel_Review-g60632-d111818-Reviews-Maui_Coast_Hotel-Kihei_Maui_Hawaii.html,520,4.5,2305,20.723741699999998,-156.4465865,0.13598015572403113,0.6119107007581401
Kohea Kai Maui,https://www.tripadvisor.com/Hotel_Review-g60632-d10815570-Reviews-Kohea_Kai_Maui-Kihei_Maui_Hawaii.html,275,4.5,149,20.7692554,-156.4582097,-0.8759766466330048,-3.9418949098485214
"The Westin Nanea Ocean Villas, Ka'anapali",https://www.tripadvisor.com/Hotel_Review-g60634-d12344180-Reviews-The_Westin_Nanea_Ocean_Villas_Ka_anapali-Lahaina_Maui_Hawaii.html,439,4.5,1611,20.942172199999998,-156.6905147,-0.18976104132410568,-0.8539246859584756
Honua Kai Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g60634-d1372538-Reviews-Honua_Kai_Resort_Spa-Lahaina_Maui_Hawaii.html,648,4.5,3692,20.9442201,-156.690276,0.7869931821012152,3.541469319455468
Best Western Pioneer Inn,https://www.tripadvisor.com/Hotel_Review-g60634-d111783-Reviews-Best_Western_Pioneer_Inn-Lahaina_Maui_Hawaii.html,207,4.5,1108,20.8723603,-156.6778851,-0.4258530040261414,-1.9163385181176362
The Ritz-Carlton,https://www.tripadvisor.com/Hotel_Review-g209273-d111843-Reviews-The_Ritz_Carlton-Kapalua_Maui_Hawaii.html,1443,4.5,4121,34.0452632,-118.2666205,0.9883519335906253,4.447583701157814
"Wailea Beach Resort - Marriott, Maui",https://www.tripadvisor.com/Hotel_Review-g609129-d89973-Reviews-Wailea_Beach_Resort_Marriott_Maui-Wailea_Maui_Hawaii.html,749,4.5,1308,20.687887399999997,-156.4428011,-0.33197946020823454,-1.4939075709370555
Hotel Wailea,https://www.tripadvisor.com/Hotel_Review-g609129-d247776-Reviews-Hotel_Wailea-Wailea_Maui_Hawaii.html,799,4.5,1550,20.6775933,-156.4319242,-0.21839247218856728,-0.9827661248485527
The Westin Ka'anapali Ocean Resort Villas,https://www.tripadvisor.com/Hotel_Review-g60634-d278711-Reviews-The_Westin_Ka_anapali_Ocean_Resort_Villas-Lahaina_Maui_Hawaii.html,539,4.5,5618,20.9378809,-156.6910649,1.6909954090676582,7.609479340804462
Lumeria Maui,https://www.tripadvisor.com/Hotel_Review-g60635-d2431959-Reviews-Lumeria_Maui-Makawao_Maui_Hawaii.html,419,4.5,737,20.886786899999997,-156.3453385,-0.5999884278083587,-2.6999479251376144
"Marriott's Maui Ocean Club - Molokai, Maui & Lanai Towers",https://www.tripadvisor.com/Hotel_Review-g60634-d87309-Reviews-Marriott_s_Maui_Ocean_Club_Molokai_Maui_Lanai_Towers-Lahaina_Maui_Hawaii.html,671,4.5,2221,20.915844,-156.695292,0.09655326732051026,0.43448970294229616
Napili Shores Maui by Outrigger,https://www.tripadvisor.com/Hotel_Review-g60634-d87315-Reviews-Napili_Shores_Maui_by_Outrigger-Lahaina_Maui_Hawaii.html,259,4.0,781,20.992481100000003,-156.66709269999998,-0.5793362481684191,-2.3173449926736764
Kaleialoha Condominiums,https://www.tripadvisor.com/Hotel_Review-g60634-d101359-Reviews-Kaleialoha_Condominiums-Lahaina_Maui_Hawaii.html,235,4.5,213,20.9579983,-156.6850018,-0.8459371126112746,-3.8067170067507354
Courtyard by Marriott Maui Kahului Airport,https://www.tripadvisor.com/Hotel_Review-g60631-d2651389-Reviews-Courtyard_by_Marriott_Maui_Kahului_Airport-Kahului_Maui_Hawaii.html,299,4.5,657,20.8883819,-156.4496137,-0.6375378453355214,-2.8689203040098463
Kahana Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d208983-Reviews-Kahana_Beach_Resort-Lahaina_Maui_Hawaii.html,199,4.0,436,20.9692582,-156.6801284,-0.7412681112543085,-2.965072445017234
White Sands Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d2202220-Reviews-White_Sands_Hotel-Honolulu_Oahu_Hawaii.html,109,4.0,775,21.2800763,-157.8254355,-0.5821524544829564,-2.3286098179318255
Hotel LaCroix,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii.html,139,4.5,772,21.2834044,-157.8311565,-0.583560557640225,-2.6260225093810123
Turtle Bay Resort,https://www.tripadvisor.com/Hotel_Review-g60651-d87158-Reviews-Turtle_Bay_Resort-Kahuku_Oahu_Hawaii.html,237,4.5,5926,21.7048116,-157.9983792,1.8355606665472348,8.260022999462556
Prince Waikiki,https://www.tripadvisor.com/Hotel_Review-g60982-d87011-Reviews-Prince_Waikiki-Honolulu_Oahu_Hawaii.html,354,5.0,1628,21.286509,-157.840199,-0.1817817900995836,-0.908908950497918
Outrigger Waikiki Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60982-d120684-Reviews-Outrigger_Waikiki_Beach_Resort-Honolulu_Oahu_Hawaii.html,379,4.5,6038,21.2771844,-157.8275909,1.8881298510852627,8.496584329883682
Queen Kapiolani Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii.html,220,4.5,696,21.2721098,-157.8209904,-0.6192325042910296,-2.7865462693096332
The Modern Honolulu,https://www.tripadvisor.com/Hotel_Review-g60982-d1818106-Reviews-The_Modern_Honolulu-Honolulu_Oahu_Hawaii.html,279,4.5,4743,21.284976999999998,-157.839152,1.2802986548643156,5.76134394688942
Outrigger Reef Waikiki Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60982-d87052-Reviews-Outrigger_Reef_Waikiki_Beach_Resort-Honolulu_Oahu_Hawaii.html,329,4.5,6885,21.278507,-157.8327139,2.285684309154098,10.285579391193442
"Aulani, A Disney Resort & Spa",https://www.tripadvisor.com/Hotel_Review-g60654-d2140201-Reviews-Aulani_A_Disney_Resort_Spa-Kapolei_Oahu_Hawaii.html,836,4.5,6513,21.339320899999997,-158.1230185,2.1110795176527914,9.49985782943756
Aston Waikiki Circle Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii.html,203,4.0,1276,21.2749118,-157.8241351,-0.34699922721909965,-1.3879969088763986
Hilton Waikiki Beach,https://www.tripadvisor.com/Hotel_Review-g60982-d209422-Reviews-Hilton_Waikiki_Beach-Honolulu_Oahu_Hawaii.html,309,4.0,5417,21.275395800000002,-157.8219214,1.5966524975306617,6.386609990122647
Shoreline Hotel Waikiki,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html,127,4.5,2357,21.2798634,-157.82782859999998,0.1603872771166869,0.7217427470250911
Hyatt Place Waikiki Beach,https://www.tripadvisor.com/Hotel_Review-g60982-d87040-Reviews-Hyatt_Place_Waikiki_Beach-Honolulu_Oahu_Hawaii.html,279,4.5,4412,21.2734487,-157.82142,1.1249379398456798,5.062220729305559
Vive Hotel Waikiki,https://www.tripadvisor.com/Hotel_Review-g60982-d4020497-Reviews-Vive_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html,189,4.5,3749,21.2767953,-157.8233295,0.8137471420893186,3.6618621394019337
Ilikai Hotel & Luxury Suites,https://www.tripadvisor.com/Hotel_Review-g60982-d209424-Reviews-Ilikai_Hotel_Luxury_Suites-Honolulu_Oahu_Hawaii.html,233,4.5,2496,21.284269899999998,-157.8385483,0.2256293900701322,1.0153322553155948
The New Otani Kaimana Beach Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d86951-Reviews-The_New_Otani_Kaimana_Beach_Hotel-Honolulu_Oahu_Hawaii.html,199,4.0,1118,21.2633647,-157.82117549999998,-0.4211593268352461,-1.6846373073409844
